INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
WARNING 2025-09-25 07:38:24,984 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:24,984 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:25,140 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:25,142 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:25,319 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:25,319 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:25,750 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:25,750 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:25,958 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:25,959 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:27,819 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:27,820 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:28,006 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:28,008 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:28,368 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:28,369 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
WARNING 2025-09-25 07:38:28,553 log 31280 20196 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:38:28,553 basehttp 31280 20196 "POST /api/v1/auth/login HTTP/1.1" 404 3461
INFO 2025-09-25 07:41:23,478 autoreload 23136 12468 Watching for file changes with StatReloader
INFO 2025-09-25 07:41:37,148 basehttp 23136 7428 "GET /admin/ HTTP/1.1" 200 8206
WARNING 2025-09-25 07:44:56,652 log 23136 24832 Not Found: /manifest.json
WARNING 2025-09-25 07:44:56,653 basehttp 23136 24832 "GET /manifest.json HTTP/1.1" 404 2757
WARNING 2025-09-25 07:44:56,691 log 23136 32952 Not Found: /manifest.json
WARNING 2025-09-25 07:44:56,691 basehttp 23136 32952 "GET /manifest.json HTTP/1.1" 404 2757
WARNING 2025-09-25 07:45:09,276 log 23136 28188 Not Found: /api/v1/auth/login
WARNING 2025-09-25 07:45:09,277 basehttp 23136 28188 "POST /api/v1/auth/login HTTP/1.1" 404 3461
INFO 2025-09-25 08:03:37,894 autoreload 14248 9728 Watching for file changes with StatReloader
WARNING 2025-09-25 08:04:51,645 log 14248 40756 Not Found: /
WARNING 2025-09-25 08:04:51,646 basehttp 14248 40756 "GET / HTTP/1.1" 404 2700
INFO 2025-09-25 08:04:57,028 basehttp 14248 40756 "GET /admin/ HTTP/1.1" 200 8206
WARNING 2025-09-25 08:05:16,447 log 14248 39888 Not Found: /manifest.json
WARNING 2025-09-25 08:05:16,448 basehttp 14248 39888 "GET /manifest.json HTTP/1.1" 404 2757
WARNING 2025-09-25 08:05:27,853 log 14248 36220 Not Found: /api/v1/auth/login
WARNING 2025-09-25 08:05:27,853 basehttp 14248 36220 "POST /api/v1/auth/login HTTP/1.1" 404 3461
